time_s,acceleration_x,acceleration_y,acceleration_z
94.645,-9.63066339,10.191118500000002,10.8789957
94.74,-12.2540634,23.710475700000003,11.3002371
94.837,-7.06468131,17.5444002,6.493847220000001
94.935,-4.80508515,17.5252707,3.2959441800000002
95.031,-1.8752697900000002,14.327406900000001,3.6980757000000004
95.13,-1.16675235,3.39322014,4.92361938
95.23,-2.5454889900000004,-9.8388414,9.28961874
95.325,-6.624251550000001,-15.3154701,11.8364517
95.425,-6.585953310000001,-12.021860700000001,8.983232820000001
95.52,-7.67745315,-12.251610900000001,6.53214546
95.615,-6.22212003,-8.5175325,1.74486546
95.715,-4.07741859,-5.5877171400000005,-1.1849499000000001
95.81,-2.10505923,-2.35151586,1.2469883400000001
95.907,-0.573132573,-1.16427042,1.36188306
96.007,-0.0561066273,-2.23662114,2.30018994
96.107,1.4566770900000001,-0.819582336,3.27679506
96.205,1.4949753300000002,-1.89193698,4.29169842
96.302,1.4949753300000002,-2.5813053,4.52148786
96.402,17.675952300000002,-3.1366297800000003,107.21839500000002
96.494,13.8078693,-24.564534300000002,30.966442200000003
96.595,21.4675173,-19.6048926,4.90447026
96.693,25.776069300000003,-11.1409227,-3.8466775800000006
96.79,5.248202850000001,35.02758600000001,6.6661893
96.89,-6.93063747,33.8977683,23.038686900000002
96.985,-6.04977795,22.7721492,14.019471000000001
97.083,-1.24334883,18.9423252,4.61723346
97.181,3.4673346900000004,14.921009999999999,-2.12325678
97.281,8.42695677,2.3017203000000004,-3.1573092600000003
97.377,-1.6837785900000002,-7.31113794,-4.5360459
97.475,-3.5795414700000006,-15.6601935,2.75976882
97.57,-2.87102403,-11.4856461,4.3682949
97.67,-0.611430813,-8.93881314,1.5916725
97.765,-4.1731641900000005,-15.583577400000001,2.18529522
97.865,-1.8752697900000002,-10.279212300000001,8.159820660000001
97.958,2.10774717,-4.8791997,3.94701426
98.06,3.18009789,-2.17917378,2.6448741000000004
98.157,0.288577827,-4.13238402,7.77683826
98.255,0.13538486700000002,-6.71751522,16.604602200000002
98.35,3.02690493,-7.3494361800000005,10.266263100000002
98.45,4.06095741,-6.48772578,7.642794420000001
98.55,3.85031709,-9.1877517,6.359803380000001
98.645,3.9843609300000002,-8.402637780000001,3.14275122
98.74,-5.896584990000001,-16.5219039,12.3726663
98.84,-10.645615800000002,-14.089906800000001,19.534358700000002
98.934,-7.2753216300000005,-15.621836400000001,15.934383000000002
99.03,-4.11571683,-10.4324445,3.94701426
99.127,-9.61151427,-1.1451213,6.4746981
99.224,-16.792463700000003,9.8464932,25.049344500000004
99.317,-13.5179838,0.808092864,27.2514933
99.414,-4.36465539,-8.97711138,15.570530100000001
99.515,1.39922973,-5.39622594,4.96191762
99.607,1.9545542100000002,-0.0344686122,1.5916725
99.703,3.9269135700000004,11.3592933,-0.131745357
99.803,4.59713277,5.30813214,3.3150933000000005
99.897,3.9269135700000004,6.01664958,1.2469883400000001
99.993,4.48223805,4.714509420000001,2.6448741000000004
100.09,3.4673346900000004,2.81874654,6.24490866
100.185,2.62477341,2.60810622,7.4704523400000005
100.28,2.16519453,-1.1259721800000002,17.1024597
100.38,10.724880599999999,6.16984254,19.9173411
100.475,13.3291413,9.9231093,16.2407493
100.575,14.171722200000001,12.9294819,13.2726357
100.67,16.124893200000002,8.16135102,15.4365255
100.765,17.0823492,4.2166323000000006,13.1577606
100.86,17.3504565,0.310215744,7.738540020000001
100.955,12.544047,-12.347356500000002,-13.1722794
101.05,1.59072093,-19.719767700000002,-17.863813800000003
101.15,-0.0944049654,-22.7644974,-3.40624782
